state	middle_range_salary	cost_of_living_index	salary_col_differential
AL	57937.5	91.21428571	25682.85714
AZ	85666.66667	104.3	45160
CA	122493.2432	170.2680556	65912.22222
CO	94125	112.1	55022.2
CT	71100	104.8	22405
FL	77625	102.85	50145.5
GA	80666.66667	100.3	42978.33333
IA	78900	89.9	44837
ID	56250		
IL	116662.5	99.01714286	84307.45714
IN	90300	90.2	56868
KS	87000		
KY	97000	88.26666667	63184.66667
LA	63000	90.53333333	28377.33333
MA	108483.6957	125.7060606	51629.21212
MD	97357.14286	107	28714
MI	100250	95.23333333	70885.66667
MN	85500	105.4	45166.5
MO	84722.22222	88.92	26675.4
NC	98452.38095	95.15714286	62033.66667
NE	57000	92.9	21416
NJ	104558.8235		
NM	74333.33333	92.9	38796.66667
NY	98485.91549	122.8984615	51825.12308
OH	87571.42857	91.73333333	64047.66667
OR	92125	113.55	41278.5
PA	97209.67742	96.39	65955.8
RI	100000	111.5	57305
SC	60500	91.9	25289
TN	100500	94.7375	62705.75
TX	100708.3333	100.2428571	59457
UT	94150	104.3714286	51557.71429
VA	95621.95122	99.43333333	63599
WA	93190.47619	122.3166667	43603
WI	73300	94.05	37306.1